0.3207859349955614 0.2843433079487911 359.9937186294276300 -0.0232137472731233 20.0264789515831720 0.0023701296604682 0.6108684057953733  1.8849555797023119 400.0025502884888100 0.0000000001205228  0.0000000001065247 0.0000000000019533 -0.0000068178212726  0.0000077333240070 0.0000005381334352 0.0055930179322461  0.0049442161019529 0.0000905699491182
1.0190769337495265 0.9002751438561879 0.0044582572929380 -0.0050257685185218 20.0054694010308260 0.0092903825203065 0.6108715583657564  1.8849555728465393 400.0081292766906800 0.0000000600090031  0.0000001854072516 0.0000000305024075 -0.0000223369010335  0.0000253672185088 0.0000376806733682 0.0177186122323122  0.0156877916302911 -0.0000368907381594
1.0450593081485560 0.9284458955943894 359.9797448635533800 -0.0030303353013156 20.0025244210299110 0.0140282671926012 0.6108747051309386  1.8849555721090634 400.0194212634220900 0.0000005620900873  0.0000004838588075 0.0000002368420176 -0.0000246176071504  0.0000279020164369 0.0001371726208812 0.0182040269338124  0.0161460362342426 0.0003702232743935
1.0554831381344612 0.9408008765158266 359.9579279497297100 -0.0023400311042712 20.0001474852863020 0.0194373609543484 0.6108778514448926  1.8849555716389053 400.0349548890398500 0.0000020482316045  0.0000021489786495 0.0000008386180529 -0.0000323540374324  0.0000366653066712 0.0005915871668720 0.0183373782737662  0.0163992625977550 0.0015066748656410
1.0571185624626143 0.9495934529855271 359.8710965110476000 -0.0007611094181557 20.0005183281211560 0.0203147244969513 0.6108809976420863  1.8849555714145241 400.0539809947691800 0.0000031574608075  0.0000040717553159 0.0000012529608321 -0.0000389932626445  0.0000439888847315 0.0009835640179876 0.0183463906483270  0.0164599160988686 0.0023013851504651
1.0567296362838787 0.9500549993049819 359.8305411788363700 0.0003473659033194 19.9993220903095330 0.0242023747506918 0.6108841437493159  1.8849555713601156 400.0768587680895500 0.0000041709206499  0.0000060974265557 0.0000018541151657 -0.0000477554162882  0.0000536313986889 0.0014871624343638 0.0183399917293463  0.0164803580795271 0.0029659754703791
1.0593494862679496 0.9539658252275287 359.7778662281012900 0.0011673306586399 19.9992728273930820 0.0283338262511391 0.6108872899202482  1.8849555714935895 400.1025253160903500 0.0000056187635036  0.0000083252747300 0.0000026295737250 -0.0000580018188770  0.0000650281112133 0.0020682806995569 0.0183496067129610  0.0164864924069077 0.0038431428929280
1.0593965238210010 0.9500865556092238 359.7036382194509700 0.0030115717611847 19.9977378102049140 0.0315261362141708 0.6108904358416549  1.8849555718307445 400.1299508768802300 0.0000092919498206  0.0000140061563130 0.0000050996131711 -0.0000819619327148  0.0000903883252034 0.0033810812085661 0.0183393700324323  0.0164881307153361 0.0059748542846144
1.0566852998079781 0.9492237521848466 359.6141671640223200 0.0021619203808068 19.9988169429746460 0.0251452054719981 0.6108935817308349  1.8849555723063585 400.1571345900314900 0.0000105608522240  0.0000169087150834 0.0000066347881143 -0.0000940678653542  0.0001026903466958 0.0040376178110805 0.0183308004416988  0.0164851716737761 0.0066407654647348
1.0553473067542736 0.9486109723935726 359.5996374471610000 0.0045464368314587 19.9998255832027030 0.0269931705271823 0.6108967277957271  1.8849555729432643 400.1837624949105800 0.0000111348608794  0.0000203234657269 0.0000081083076117 -0.0001051332119130  0.0001140177381660 0.0046633251096007 0.0183277108501582  0.0164794417933312 0.0068893901665273
1.0551621541742149 0.9494643912619654 359.5871803792769600 0.0041097152551281 20.0002411558830320 0.0276422429630905 0.6108998739718803  1.8849555738159594 400.2098317510715900 0.0000118922773711  0.0000232923752005 0.0000097059765684 -0.0001148939259511  0.0001240982989266 0.0052305203292013 0.0183291249216206  0.0164669374772458 0.0071031707678317
1.0565345815571185 0.9529806143924042 359.5717612974439100 0.0044388374831071 20.0001958698242710 0.0304445091169216 0.6109030202028238  1.8849555745673146 400.2364541562695900 0.0000129848855614  0.0000304088973190 0.0000138209913753 -0.0001321521342172  0.0001427802205233 0.0062741662558910 0.0183330492493377  0.0164606281954230 0.0076161005245023
1.0567056295255619 0.9495780939654903 359.5339067105873000 0.0027760547829562 19.9991001419864500 0.0233722364515183 0.6109061663565479  1.8849555751864617 400.2610775445546700 0.0000137553130610  0.0000335914532427 0.0000162369208106 -0.0001399398233796  0.0001509995396507 0.0067372366741072 0.0183353774219832  0.0164608795782565 0.0080020423844604
1.0582132578844430 0.9481333693315858 359.4990240206285000 0.0022509036263621 19.9991679026422910 0.0245508131191354 0.6109093123869960  1.8849555757112515 400.2856032933347600 0.0000146905730558  0.0000368488660444 0.0000185635406116 -0.0001468867476551  0.0001583220589255 0.0071533481747963 0.0183346065872904  0.0164636423734690 0.0086090365139332
1.0575534152191843 0.9508558432295653 359.4736918131230300 0.0032734027198698 19.9998162412649200 0.0264806180954373 0.6109124585036850  1.8849555762196950 400.3104456335220800 0.0000152331702635  0.0000394694697964 0.0000206105853083 -0.0001529126864192  0.0001655194983530 0.0075381241928901 0.0183346412010061  0.0164658601045190 0.0090808015521111
1.0611836406761728 0.9505942403435355 359.4429061465533600 0.0018879993860390 19.9990583846810570 0.0277062297195187 0.6109156046243605  1.8849555766768538 400.3343707090946300 0.0000171481390930  0.0000446844978525 0.0000238668696954 -0.0001633441176883  0.0001776034419785 0.0081838912514739 0.0183379243883194  0.0164745073195228 0.0104310007563425
1.0612661697970758 0.9486547485696463 359.3593787976906800 0.0011208533011274 20.0004506672167360 0.0193779598041524 0.6109187507743883  1.8849555770124531 400.3563964464962600 0.0000182676429395  0.0000469755286751 0.0000252525422373 -0.0001678931101022  0.0001830255761373 0.0084590261145495 0.0183410874717800  0.0164794327898330 0.0111637436046182
1.0599752221788483 0.9484129191683277 359.3269971563761900 0.0008544022217560 19.9995850781741420 0.0185795890811185 0.6109218969499723  1.8849555771315105 400.3759554911519000 0.0000189189864440  0.0000490864972088 0.0000266843347253 -0.0001715021652172  0.0001874909168642 0.0086749868910033 0.0183420243952955  0.0164861943141118 0.0116839260428876
1.0616326686056130 0.9497986550311031 359.2846007469471500 0.0011129841751948 19.9986533592428230 0.0205779124242916 0.6109250430227767  1.8849555772761510 400.3943670326750100 0.0000200436500903  0.0000511383009844 0.0000282792420745 -0.0001744705348564  0.0001910394883577 0.0088600263086467 0.0183445111759379  0.0164924681345402 0.0123950834711152
1.0606275648079522 0.9479647497521317 359.2649778035453200 0.0011625010122601 19.9981010570041350 0.0209097719369232 0.6109281890495916  1.8849555773992417 400.4123513505302900 0.0000209735017868  0.0000540527491789 0.0000308374659710 -0.0001802787952004  0.0001968226118955 0.0091728385238590 0.0183442739871182  0.0165005939199146 0.0130748914919987
1.0608253637478213 0.9451210437473699 359.2278555479010200 -0.0009420960647565 19.9975976251500600 0.0123880244230859 0.6109313348479112  1.8849555773901197 400.4273667645311400 0.0000213617096052  0.0000550953207575 0.0000317484615385 -0.0001827249390225  0.0001991615929136 0.0092861022620788 0.0183420876604903  0.0165047295763008 0.0134820471724537
1.0635039472361933 0.9453988380195229 359.1851570319926200 -0.0018165017547702 19.9968299766113380 0.0139216182690308 0.6109344806696403  1.8849555769806696 400.4414346313022900 0.0000222654659197  0.0000558122085178 0.0000328884155987 -0.0001848050755547  0.0002019135253128 0.0093898549507031 0.0183425939216935  0.0165105990011157 0.0142008766637926
1.0622314619490882 0.9454176975141421 359.1507667454572500 -0.0007152598299694 19.9965449752692880 0.0150353360536851 0.6109376263420832  1.8849555767382458 400.4544608754617300 0.0000228693465865  0.0000566246833612 0.0000338429348440 -0.0001867768051467  0.0002042264468569 0.0094682353467277 0.0183409230363297  0.0165156992139926 0.0147774294071323
1.0618471171675505 0.9440650650155430 359.1307697664115600 -0.0011852230655039 19.9959237564553370 0.0167838403046552 0.6109407719997267  1.8849555766047916 400.4677716836249000 0.0000236620845672  0.0000576042263599 0.0000357307890180 -0.0001905642151708  0.0002077748415108 0.0096150259459032 0.0183374178322803  0.0165207766367288 0.0156511080039336
1.0637922903232178 0.9429151612705023 359.0787017274246300 -0.0000570674205673 19.9957291972904940 0.0105817962136935 0.6109439175755869  1.8849555765277490 400.4796702833065200 0.0000242153999561  0.0000581218891565 0.0000364318277832 -0.0001924270112399  0.0002092214428194 0.0096807925192635 0.0183361725810083  0.0165231150636073 0.0161120087002291
1.0642948059919437 0.9417461673134637 359.0457565917990300 -0.0000450071717762 19.9959678573037820 0.0125438527619311 0.6109470631191410  1.8849555764970478 400.4915597629783400 0.0000247538716647  0.0000584458212201 0.0000373584542626 -0.0001940731017832  0.0002104859818521 0.0097372131048855 0.0183350799375649  0.0165248500267025 0.0166289836058881
1.0677619679655939 0.9404157058026819 359.0285445998303000 0.0012382716841609 19.9977621429578180 0.0152390716414526 0.6109502088319597  1.8849555765700217 400.5044308277640500 0.0000253635247987  0.0000584994037371 0.0000381939901654 -0.0001955609572283  0.0002113994233499 0.0097946975474901 0.0183349407938135  0.0165250640099641 0.0169299403984235
1.0686793415260913 0.9395660020365449 359.0131805383006700 0.0019394686778016 19.9964828279121600 0.0171004239959111 0.6109533545712099  1.8849555768559294 400.5180117902712000 0.0000271184719943  0.0000584247479763 0.0000395114409315 -0.0001966873716593  0.0002115452134096 0.0099018469251836 0.0183389123030463  0.0165226358867496 0.0173478130102318
1.0658049148319888 0.9370517738400569 359.0037780219827800 0.0017665986894581 19.9966377290153900 0.0094027269468106 0.6109565003059500  1.8849555771817124 400.5296910651057900 0.0000277891457528  0.0000583210132270 0.0000400525220829 -0.0001973762954385  0.0002114322570025 0.0099484968355671 0.0183401808475683  0.0165210438061826 0.0174398109628549
1.0663591985267724 0.9363033089429708 359.0017275094542100 0.0011003110060661 19.9974093887708440 0.0091677237183255 0.6109596459246042  1.8849555774446578 400.5397582489265500 0.0000284309831232  0.0000581184525940 0.0000405058000546 -0.0001982988121992  0.0002109845121135 0.0099824970607739 0.0183408441304596  0.0165191385343578 0.0174386565567159
