-0.0009815413776913 -0.0028000005700856 359.9997532453800200 0.0000515179793141 9.9147873760092562 -0.0000723547882311 0.6108668128988734  1.8849555913085851 399.9950770619375900
0.0001713316295029 -0.0042622655353102 0.0005830476682023 0.0032009020478976 11.9900976061983400 0.0032753623079654 0.6108685411753618  1.8849555910331937 399.9934624411961900
0.0011344248573795 -0.0041196740359166 359.9994147176644200 0.0030662206405515 13.9837618023226900 0.0035028189318784 0.6108705821223768  1.8849555913307954 399.9951958495026400
-0.0022994797786959 -0.0007194448039990 359.9987649739064800 0.0021276179711650 15.9965143801734530 0.0022248652574221 0.6108729399475553  1.8849555915816700 399.9966309651999800
-0.0003828322866329 -0.0042843875758661 359.9981084367639100 0.0011976773190501 18.0913425316535450 0.0015786775142627 0.6108756269475748  1.8849555917041216 399.9975562766291000
-0.0025365643689095 -0.0006374984651036 359.9966357532408100 0.0003040523120106 20.1480315761387450 0.0006579970633080 0.6108786362431093  1.8849555916523708 399.9976311025077400
-0.0043897263668828 -0.0001418732382731 359.9962765138225800 -0.0002058160715756 22.1302546725650370 -0.0002582691865444 0.6108819525063141  1.8849555914790090 399.9967444171985600
-0.0044750432832330 0.0025219997191787 359.9942228844746500 -0.0007545952890286 24.0686617846950170 -0.0010134357918570 0.6108855695664587  1.8849555911358480 399.9954939022047100
-0.0042016454830079 0.0006385674633037 359.9933069774419300 -0.0013699996648804 26.0093223556751130 -0.0015265718825939 0.6108894927965962  1.8849555906744988 399.9939472379087400
-0.0050600452891983 0.0005113298584355 359.9937106498080700 -0.0019089922153945 28.0200146137071190 -0.0020661484874459 0.6108937452032672  1.8849555901697008 399.9917945708647800
-0.0053511344866185 0.0039967074410501 359.9949573403618500 -0.0019644097405486 29.9515861647583610 -0.0024557660575778 0.6108982849207617  1.8849555896811381 399.9892815200794300
-0.0049647353281486 0.0066128803879810 359.9981452528583100 -0.0009803553656360 29.9699140157701540 -0.0026206097068197 0.6109030065533624  1.8849555894069501 399.9867858119977800
-0.0054722549759268 0.0098683615147739 359.9962971988601900 -0.0003304420932611 29.9749291513523130 -0.0027520655857890 0.6109077251958147  1.8849555889885869 399.9839889757695900
-0.0071490444105958 0.0098181868562452 359.9961448444791500 0.0003708409952102 29.9848923905048640 -0.0031403617315453 0.6109124469668631  1.8849555885825011 399.9805199325002700
-0.0089758529782613 0.0109850567837539 359.9952489156564200 0.0008769577577057 30.0075975560697260 -0.0035603108761973 0.6109171766822532  1.8849555881170514 399.9761245610734500
-0.0092763123296341 0.0116783900158247 359.9947966280930700 0.0011128504935951 29.9935695321455360 -0.0040496378460685 0.6109218887021843  1.8849555876296797 399.9715634365821900
-0.0075492879779777 0.0147543827809089 359.9926678387973900 0.0014383561854649 30.0138184712626880 -0.0042071683482352 0.6109266197326049  1.8849555869252415 399.9676978408325600
-0.0082911203251269 0.0135920710410232 359.9930931141855100 0.0018794519142046 30.0010936916272040 -0.0044230303493065 0.6109313322429708  1.8849555862643168 399.9634262831657500
