-0.0000000149 0.0000000015 0.0000000010 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000900985 0.0009004378 0.0000932498 0.0076155154 0.0076155154 0.0076155154 0.0099019193 0.0099019190 0.0099019190 0.0000000000 0.0000000000 100.0122710200 0.0000000376 0.0000000376 0.0000000376 0.0094757368 0.0094757367 0.0094757367    1
-0.0000000041 0.0000000024 0.0000000017 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0030385737 -0.0323505349 0.0031923934 0.0076156705 0.0076156705 0.0076156705 0.0066177146 0.0066177105 0.0066177105 0.0000000000 0.0000000000 100.0263439150 0.0000000376 0.0000000376 0.0000000376 0.0063783579 0.0063783578 0.0063783578    2
-0.0000000074 0.0000000034 0.0000000024 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0061224010 -0.0081360674 0.0062940270 0.0076159009 0.0076159009 0.0076159009 0.0066067176 0.0066067127 0.0066067127 0.0000000000 0.0000000000 100.0372914392 0.0000000376 0.0000000376 0.0000000376 0.0032412855 0.0032412857 0.0032412857    3
-0.0000000075 0.0000000044 0.0000000031 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0077305533 -0.0059285091 0.0081582149 0.0076162064 0.0076162064 0.0076162064 0.0062083657 0.0062083594 0.0062083594 0.0000000000 0.0000000000 100.0465485868 0.0000000376 0.0000000376 0.0000000376 0.0016373690 0.0016373693 0.0016373694    4
0.0000000050 0.0000000054 0.0000000038 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0084711041 -0.0311959176 0.0088552799 0.0076165872 0.0076165872 0.0076165872 0.0056098718 0.0056098637 0.0056098637 0.0000000000 0.0000000000 100.0556037906 0.0000000376 0.0000000376 0.0000000376 0.0008981504 0.0008981507 0.0008981507    5
0.0000000103 0.0000000064 0.0000000044 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0088734394 -0.0351448045 0.0092737158 0.0076170432 0.0076170432 0.0076170432 0.0050277107 0.0050277005 0.0050277005 0.0000000000 0.0000000000 100.0648026083 0.0000000376 0.0000000376 0.0000000376 0.0005357734 0.0005357737 0.0005357737    6
-0.0000000011 0.0000000073 0.0000000051 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0091018098 -0.0205467154 0.0095428773 0.0076175744 0.0076175744 0.0076175744 0.0045201429 0.0045201307 0.0045201307 0.0000000000 0.0000000000 100.0741674246 0.0000000376 0.0000000376 0.0000000376 0.0003424836 0.0003424839 0.0003424839    7
-0.0000000235 0.0000000083 0.0000000058 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0093262174 -0.0021105204 0.0096609642 0.0076181808 0.0076181808 0.0076181808 0.0040903533 0.0040903390 0.0040903389 0.0000000000 0.0000000000 100.0836654116 0.0000000376 0.0000000376 0.0000000376 0.0002312963 0.0002312966 0.0002312966    8
-0.0000000446 0.0000000093 0.0000000065 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0094962105 0.0104965810 0.0097002558 0.0076188624 0.0076188624 0.0076188624 0.0037277980 0.0037277816 0.0037277816 0.0000000000 0.0000000000 100.0932634704 0.0000000376 0.0000000376 0.0000000376 0.0001632078 0.0001632081 0.0001632081    9
-0.0000000419 0.0000000103 0.0000000072 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0095920451 0.0088214699 0.0097336306 0.0076196193 0.0076196193 0.0076196193 0.0034204104 0.0034203921 0.0034203920 0.0000000000 0.0000000000 100.1029363348 0.0000000376 0.0000000376 0.0000000376 0.0001193207 0.0001193210 0.0001193210   10
