0.0000000026267540 0.0000410519042671 -0.0000599230635379 0.0000128483504286 -0.0000000007317832 -0.0008420970019442 0.6108652539000000  1.8849555922005026 399.9997894757182700
0.0000000331618102 0.0000821036325315 -0.0001198462547958 0.0000401255942997 0.0999166583861080 -0.0016841960297581 0.6108652578262902  1.8849555922029189 399.9991579029394900
0.0000000076929252 0.0001231550714153 -0.0001797696870983 0.0000819586953562 0.1999166507749075 -0.0025262972364383 0.6108652696180743  1.8849555922086381 399.9981052794036000
0.0000000293675041 0.0001642061087412 -0.0002396934765957 0.0001383475142925 0.2999166359031158 -0.0033683913536585 0.6108652892754167  1.8849555922190513 399.9966316070057800
0.0000000466192898 0.0002052566333627 -0.0002996177407703 0.0002092919978421 0.3999166152732399 -0.0042104844022632 0.6108653167983174  1.8849555922355505 399.9947368875964500
0.0000000537186297 0.0002463065328738 -0.0003595425955786 0.0002947916555344 0.4999165815851731 -0.0050525721132357 0.6108653521867754  1.8849555922595267 399.9924211231743200
0.0000001079612089 0.0002873556965111 -0.0004194681588049 0.0003948466595800 0.5999165362533432 -0.0058946554065550 0.6108653954407900  1.8849555922923709 399.9896843160621500
0.0000001004849260 0.0003284040115434 -0.0004793945462258 0.0005094563447850 0.6999164735645774 -0.0067367320294480 0.6108654465603598  1.8849555923354759 399.9865264689856300
0.0000001687995177 0.0003694513673289 -0.0005393218755408 0.0006386207086619 0.7999163918707821 -0.0075788021706726 0.6108655055454837  1.8849555923902317 399.9829475852529300
0.0000001811245173 0.0004104976512529 -0.0005992502627771 0.0007823393111645 0.8999162882799543 -0.0084208644063104 0.6108655723961599  1.8849555924580292 399.9789476684400100
0.0000002348625588 0.0004515427519598 -0.0006591798248128 0.0009406098175541 0.9998328237791823 -0.0092629177841441 0.6108656471123209  1.8849555925402601 399.9745267226193700
0.0000001404497989 0.0004925865663727 -0.0007191106742073 0.0011110507560089 0.9999160232436993 -0.0101049625201154 0.6108657257612510  1.8849555926382056 399.9696847525903000
0.0000000513046160 0.0005336289837765 -0.0007790429060468 0.0012956239393405 0.9999159057303503 -0.0109469976996643 0.6108658044102364  1.8849555927531185 399.9644217621618600
-0.0000000325878472 0.0005746698770959 -0.0008389766088180 0.0014943306370906 0.9999158015166774 -0.0117890241535117 0.6108658830592137  1.8849555928863502 399.9587377561125500
-0.0000001112274529 0.0006157091192596 -0.0008989118710048 0.0017071703083367 0.9999157075803384 -0.0126310414125253 0.6108659617081826  1.8849555930392516 399.9526327394488600
