0.0000138366053287 0.0000560606797861 359.9999756635613700 -0.7012858805163917 10.4462927303565870 0.1500629322303522 0.6108666177389703  1.8849538858631254 395.7734804371659700
0.0000422382410671 0.0000846402292875 359.9999435042681200 -0.6879409855523655 12.4683112445107670 -0.1178394200672951 0.6108681197631297  1.8849529149398698 396.3254232516360400
0.0000851210431017 0.0001021990136774 359.9999285868001900 -0.0989156211222008 14.1046254612252010 -0.3261003486201994 0.6108703466041646  1.8849540081659764 396.7940082508005200
0.0001116395458764 0.0001297339718868 359.9998983529259200 0.2573802717186219 16.2753168291331040 -0.6031167019229491 0.6108731327615228  1.8849547357115715 394.6608261548650500
0.0001206223176374 0.0001499075103769 359.9998537231858800 0.0283261290570200 18.2125294144964980 -0.0216790000852322 0.6108762568445991  1.8849552874908175 399.2072365233583500
0.0001584835854893 0.0001803593796451 359.9998277973600100 -0.0671734371673993 19.6714806222886910 0.3441035647416006 0.6108790399907729  1.8849555274703158 398.5584914269455200
0.0001797296040939 0.0002028791835240 359.9997948793929900 -0.3359850850850737 21.6773860834085890 0.1646192937828808 0.6108823400904484  1.8849550281371790 398.9780609166614300
0.0001925491776976 0.0002711682140264 359.9997406939443700 -0.3042989818755215 23.6715925256906840 0.1640876837309724 0.6108866868522669  1.8849552042220441 398.2272595809361600
0.0002116887089035 0.0003056812969457 359.9997052387346900 -0.0423029832245831 25.8367366175813340 0.3616047358222519 0.6108906066691886  1.8849552659650926 399.0690308400193100
0.0002364931171912 0.0003410036647737 359.9996722904576200 -0.3293180315940125 28.2280933540639230 0.0819890086607113 0.6108949038131305  1.8849552217551062 398.3026341841976400
0.0002581407563587 0.0003637336383157 359.9996673471933400 -0.5095171481240635 30.3946831002322670 -0.0073460869539286 0.6108994664221252  1.8849548858778862 398.6714014046993400
0.0003120127907473 0.0004022299451409 359.9996261057293600 -0.0473243728282848 30.1418629990687950 0.1688087081111578 0.6109039908562587  1.8849551355820158 400.6854845874153200
0.0003575231174594 0.0004482310023958 359.9996239287655200 0.1463498845924406 29.8104242755125350 0.4173684547784493 0.6109084725013354  1.8849554864870399 402.3732583740631400
0.0003809498074565 0.0004601196459354 359.9996026754496400 0.1400594443240662 29.6433185393535010 0.3838842414589954 0.6109129618471613  1.8849553452345555 403.6585007815638200
0.0004087596101758 0.0004806110867004 359.9995537911027000 0.4381174399196552 29.5848878867340940 0.5440471240929639 0.6109173898492647  1.8849557165795185 405.0729195462707300
0.0004653700485352 0.0005024247691562 359.9995196153578300 0.4363633397939794 29.8265343196792760 0.4654677564221535 0.6109222926791161  1.8849557233517271 405.1853263073747400
0.0004993770136729 0.0005173652171318 359.9994974228548000 0.2807572043112222 29.7839030291926150 0.3443234237572290 0.6109269708737294  1.8849555913609415 404.2671253778227700
0.0005254025228665 0.0005495654235384 359.9994567285156100 0.3512649858960162 29.6534708068035220 0.2116072120384896 0.6109315929467686  1.8849557270608752 402.9528231523210600
0.0005510528912026 0.0005766509008648 359.9994372096240900 0.5348449742035487 29.8151647861808160 0.3565353340900952 0.6109363595481848  1.8849558815781129 403.5960796851698000
0.0005575857975458 0.0005907490924868 359.9994189846441900 0.3266660749518630 29.4369006975935110 0.2543864499716342 0.6109408491162250  1.8849556021742944 401.9857687810356900
0.0005825212392362 0.0005969224405561 359.9993887411587300 0.4815750015946458 29.4904466052130760 0.2718459794908686 0.6109452875806676  1.8849557025992307 400.6328987914716300
0.0006200615755288 0.0006082123366205 359.9993619598827800 0.4617549342741232 29.5581628288029920 0.3307593908824151 0.6109501076543447  1.8849557104353880 401.5184394577512400
0.0006313451890251 0.0005968868436027 359.9993487506643500 0.4316249421574383 29.7541239680533460 0.3261025001267143 0.6109548434238946  1.8849558225203937 401.7136745879036500
0.0006620634879500 0.0006115507396430 359.9993304690016200 0.2714686274734692 29.8178803970639560 0.5080781318485886 0.6109595177528023  1.8849556840710844 404.1863758942145100
0.0006630361916150 0.0006634028507556 359.9992946365837300 0.2901703806823368 29.9132125436641870 0.2896153721624050 0.6109643073513270  1.8849558827523087 402.0654938494909100
0.0006852927516197 0.0006990323102324 359.9992856948781500 0.1233823648699871 29.9091754230385800 0.2314261040122047 0.6109689535210851  1.8849554793600449 401.9336913426007000
0.0007269830095998 0.0007073371349506 359.9992693311014000 0.0839482877473554 30.0218182198681270 0.2364274825444934 0.6109738834345425  1.8849554679630662 401.8888286662606200
0.0007752744047507 0.0007083048487019 359.9992672635785300 0.4232737143714914 30.1194199760074960 0.1432825679186204 0.6109787075142503  1.8849560441252320 401.3197139060548000
0.0008176102815663 0.0007487216525923 359.9992141145645500 0.3628830948646535 30.2208641984190400 0.1914688718758043 0.6109835901030903  1.8849560400737488 402.0512791458425600
0.0008718877231016 0.0007469988826732 359.9991899581393100 0.3257280375408007 30.0647067464064330 0.3511249524855101 0.6109881125936237  1.8849559832970142 403.0433629196289800
0.0009206190023371 0.0007536113096779 359.9991719521860300 0.3322657396488152 29.9335165347082960 0.3999470310165372 0.6109926070038574  1.8849560349184300 403.9903368842145100
0.0009511458932464 0.0007854075695324 359.9991849277795400 0.2370689967049879 30.0749975934662470 0.4690079151909846 0.6109975514719690  1.8849558838030736 404.3197516063053700
0.0009829661336159 0.0008112835415415 359.9991278032509300 0.1863529844443924 30.1911641374294500 0.4284528611902250 0.6110024673714447  1.8849558887434978 404.4363568091048900
0.0010141939477823 0.0008679861951178 359.9991125443176000 0.0092311990936746 30.1733141139953070 0.4376329370289514 0.6110072106563349  1.8849555503794568 404.3324076267000500
0.0010603644731627 0.0009006074892216 359.9990786136587500 -0.0812637254341689 30.1925926909504910 0.3280232558142939 0.6110119406711742  1.8849554034347600 403.1269583041058100
0.0010816416703568 0.0009208100241617 359.9990603317591500 -0.1900736130934842 30.0930708306685660 0.3170976967484298 0.6110164077083278  1.8849551086250753 403.6211846267119100
0.0011155205460132 0.0009664291404242 359.9990542363842700 -0.2010549880084186 30.0261123187033970 0.1712298715513152 0.6110210304467110  1.8849550330887477 402.4332819788838300
0.0011353605530344 0.0009589682382847 359.9990096806399200 -0.2755594962688804 30.0767554217722550 0.1057772947840283 0.6110257197990829  1.8849547205258221 401.0394376955362100
0.0011404330372329 0.0010386519979692 359.9989828805129800 -0.2453075728896451 30.1633928579469990 0.0655712493061233 0.6110306278554927  1.8849547244748475 401.1764369823771400
0.0011752949860615 0.0010443867849504 359.9989537138900500 -0.1176760951229942 30.1389420009561630 0.0911749455343652 0.6110352961089914  1.8849550209126333 401.8765068805256000
