0.0000000697 0.0000001095 0.0000000767 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0060629559 -0.0043053438 -0.0016243713 0.0152308710 0.0152308710 0.0152308710 0.5005292373 0.5011250099 0.5011333428 0.0000000000 0.0000000000 50.1246885160 0.0076154355 0.0076154355 0.0076154355 0.0095199477 0.0095199477 0.0095199477    1
0.0000000755 0.0000001049 0.0000000735 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0040443477 -0.0052546170 0.0059838598 0.0380771774 0.0380771775 0.0380771774 0.3394500222 0.3404981456 0.3405128443 0.0000000000 0.0000000000 33.6646897233 0.0076154355 0.0076154355 0.0076154355 0.0093856990 0.0093857696 0.0093857706    2
-0.0000000847 -0.0000001549 -0.0000001084 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0215181351 0.0144114986 0.0169047485 0.0761543547 0.0761543549 0.0761543548 0.2659815762 0.2674346282 0.2674550448 0.0000000000 0.0000000000 25.5577043336 0.0076154355 0.0076154355 0.0076154355 0.0091276295 0.0091280299 0.0091280354    3
0.0000000159 -0.0000003403 -0.0000002383 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0414433447 0.0030349454 0.0351239520 0.1294624025 0.1294624031 0.1294624028 0.2291412831 0.2309703470 0.2309961184 0.0000000000 0.0000000000 20.7927025177 0.0076154355 0.0076154355 0.0076154355 0.0087264108 0.0087276913 0.0087277092    4
-0.0000000114 -0.0000001981 -0.0000001388 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0070487613 0.0135160308 -0.0174204263 0.1980013206 0.1980013221 0.1980013214 0.2109111754 0.2130965164 0.2131274143 0.0000000000 0.0000000000 17.7008975938 0.0076154355 0.0076154355 0.0076154355 0.0081845517 0.0081875559 0.0081875980    5
-0.0000003477 -0.0000001477 -0.0000001036 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0093488266 0.0710065629 -0.0588931110 0.2817711086 0.2817711118 0.2817711102 0.2026077414 0.2051393211 0.2051752984 0.0000000000 0.0000000000 15.5679778495 0.0076154355 0.0076154355 0.0076154355 0.0075270091 0.0075327281 0.0075328081    6
-0.0000003019 0.0000000480 0.0000000334 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0328425669 0.0623134199 -0.0288157186 0.3807717660 0.3807717719 0.3807717689 0.1992237772 0.2021019984 0.2021431317 0.0000000000 0.0000000000 14.0366474306 0.0076154355 0.0076154355 0.0076154355 0.0067949936 0.0068043205 0.0068044509    7
-0.0000001939 -0.0000000155 -0.0000000112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0299358611 0.0705378624 -0.0277266074 0.4950032921 0.4950033022 0.4950032971 0.1977031970 0.2009367673 0.2009832191 0.0000000000 0.0000000000 12.9074059403 0.0076154355 0.0076154355 0.0076154355 0.0060354536 0.0060489552 0.0060491440    8
-0.0000000535 -0.0000001941 -0.0000001363 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0062218749 0.0410318735 -0.0471823920 0.6244656863 0.6244657025 0.6244656943 0.1962673933 0.1998685550 0.1999205498 0.0000000000 0.0000000000 12.0591511996 0.0076154355 0.0076154355 0.0076154355 0.0052908517 0.0053086586 0.0053089078    9
0.0000002046 -0.0000000327 -0.0000000231 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0319368039 -0.0120674279 -0.0095242988 0.7691589477 0.7691589726 0.7691589600 0.1940232407 0.1980022626 0.1980600048 0.0000000000 0.0000000000 11.4134778887 0.0076154355 0.0076154355 0.0076154355 0.0045927965 0.0046146311 0.0046149370   10
